State,From Year,To Year,Category,Sub-category,Display Names,Total,% To India,% To State,Males,% To Total,Females,% To Total,All India Total,All India Males,All India Females,All States,All India Figs
CHANDIGARH,2001,2011,POPULATION,Rural Decadal Population Growth (in %),Decadal Pop. Growth-Rur,-68.51,,,-69.81, ,-66.44,,12.18,12.12,12.25,,
LAKSHADWEEP,2001,2011,POPULATION,Rural Decadal Population Growth (in %),Decadal Pop. Growth-Rur,-58.08,,,-57.95, ,-58.2,,12.18,12.12,12.25,,
DELHI,2001,2011,POPULATION,Rural Decadal Population Growth (in %),Decadal Pop. Growth-Rur,-55.61,,,-56.52, ,-54.5,,12.18,12.12,12.25,,
DAMAN & DIU,2001,2011,POPULATION,Sex Ratio (Females Per 1000 Males),Sex Ratio,-40.18,,,-49.19, ,-24.79,,12.18,12.12,12.25,,
KERALA,2001,2011,POPULATION,Rural Decadal Population Growth (in %),Decadal Pop. Growth-Rur,-25.96,,,,,,,940,,,,
GOA,2001,2011,POPULATION,Rural Decadal Population Growth (in %),Decadal Pop. Growth-Rur,-18.56,,,,,,,940,,,,
NAGALAND,2001,2011,POPULATION,Rural Decadal Population Growth (in %),Decadal Pop. Growth-Rur,-14.59,,,-15.72, ,-13.37,,12.18,12.12,12.25,,
MIZORAM,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-10.25,,,,,,,-2.49,,,,
MANIPUR,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-8.24,,,,,,,-2.49,,,,
ARUNACHAL PRADESH,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-5.92,,,,,,,-2.49,,,,
SIKKIM,2001,2011,POPULATION,Rural Decadal Population Growth (in %),Decadal Pop. Growth-Rur,-5.2,,,-5.34, ,-5.05,,12.18,12.12,12.25,,
JAMMU & KASHMIR,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-4.78,,,,,,,-2.49,,,,
KERALA,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-3.6,,,3.4,,26.2,,3.8,2.9,6.9,,
NAGALAND,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-3.54,,,,,,,-2.49,,,,
PUNJAB,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-3.39,,,,,,,-2.49,,,,
JHARKHAND,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-3.24,,,,,,,-2.49,,,,
UTTARAKHAND,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-3,,,,,,,-2.49,,,,
WEST BENGAL,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-2.83,,,,,,,-2.49,,,,
CHHATTISGARH,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-2.82,,,,,,,-2.49,,,,
UTTAR PRADESH,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-2.8,,,,,,,-2.49,,,,
MADHYA PRADESH,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-2.77,,,,,,,-2.49,,,,
KARNATAKA,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-2.68,,,2.5,,2.4,,3.8,2.9,6.9,,
ORISSA,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-2.66,,,,,,,-2.49,,,,
ANDHRA PRADESH,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-2.6,,,2.7,,3.5,,3.8,2.9,6.9,,
HARYANA,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-2.59,,,,,,,-2.49,,,,
HIMACHAL PRADESH,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-2.58,,,,,,,-2.49,,,,
GUJARAT,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-2.44,,,,,,,-2.49,,,,
SIKKIM,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-2.35,,,,,,,-2.49,,,,
ASSAM,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-2.32,,,,,,,-2.49,,,,
RAJASTHAN,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-2.24,,,,,,,-2.49,,,,
TRIPURA,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-2.24,,,,,,,-2.49,,,,
TAMIL NADU,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-2.13,,,1.9,,2.9,,3.8,2.9,6.9,,
KERALA,2011,2012,Fiscal Developments,Revenue Deficit (BE) (As %ge Of GSDP),Revenue Deficit(%),-2.08,,,,,,,21.9,,,,
MAHARASHTRA,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-1.94,,,,,,,-2.49,,,,
BIHAR,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-1.66,,,,,,,-2.49,,,,
WEST BENGAL,2011,2012,Fiscal Developments,Revenue Deficit (BE) (As %ge Of GSDP),Revenue Deficit(%),-1.51,,,,,,,0.32,,,,
PUNJAB,2011,2012,Fiscal Developments,Revenue Deficit (BE) (As %ge Of GSDP),Revenue Deficit(%),-1.3,,,,,,,0.32,,,,
MEGHALAYA,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-1.28,,,,,,,-2.49,,,,
GOA,2011,2012,Fiscal Developments,Fiscal Deficit (BE) (As % Of GSDP),Fiscal Deficit(%),-0.99,,,8,,46.2,,3.8,2.9,6.9,,
HARYANA,2011,2012,Fiscal Developments,Revenue Deficit (BE) (As %ge Of GSDP),Revenue Deficit(%),-0.86,,,,,,,0.32,,,,
NAGALAND,2001,2011,POPULATION,Decadal Population Growth (2001-2011) (in %),Decadal Pop. Growth,-0.47,,,-2.05, ,1.27,,17.64,17.19,18.12,,
GUJARAT,2009,2010,EDUCATION,Schools and Colleges-Pre-Primary or Pre Basic Schools,Pre-Primary Schools,0,,,,,,,67822,,,,
JAMMU & KASHMIR,2009,2010,EDUCATION,Schools and Colleges-Pre-Primary or Pre Basic Schools,Pre-Primary Schools,0,,,,,,,67822,,,,
JAMMU & KASHMIR,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Intl),Cargo Per Day (ton)(Intl),0,,,,,,,3170,,,,
DELHI,,2011,HOUSEHOLD ASSETS,Houses Using Oil (in %),Houses -Oil ( %),0,,,,,,,0.2,,,,
DELHI,,2012,HEALTH,No of Rural Hospitals (Govt),Rur. Hospitals (Govt),0,,,,,,,7347,,,,
DELHI,,2012,HEALTH,No of Rural Beds (Govt),Rur. Beds (Govt),0,,,,,,,160862,,,,
DELHI,2009,2010,INDUSTRY & INFRASTRUCTURE,Foodgrain Area Under Irrigation (%),Foodgrain Area Under Irrigation (%),0,,,,,,,32.2,,,,
PUNJAB,2009,2010,EDUCATION,Schools and Colleges-Pre-Primary or Pre Basic Schools,Pre-Primary Schools,0,,,,,,,67822,,,,
