State,Category,Sub-Category1,Sub-Category2,Sub-Category 3,Sub-Category 4,Display Names,2010,2011,2012
MADHYA PRADESH,TOTAL CAPITAL DISBURSEMENTS (I to XII) category,I. Total Capital Outlay (1 + 2) Sub Category 1,1. Development (a + b) Sub Category 2,(b) Economic Services (1 to 10),1. Agriculture and Allied Activities,Agriculture,2255,3321.5,962.9
ANDHRA PRADESH,TOTAL CAPITAL DISBURSEMENTS (I to XII) category,I. Total Capital Outlay (1 + 2) Sub Category 1,1. Development (a + b) Sub Category 2,(b) Economic Services (1 to 10),1. Agriculture and Allied Activities,Agriculture,306.2,1007,1102.3
ASSAM,TOTAL CAPITAL DISBURSEMENTS (I to XII) category,I. Total Capital Outlay (1 + 2) Sub Category 1,1. Development (a + b) Sub Category 2,(b) Economic Services (1 to 10),1. Agriculture and Allied Activities,Agriculture,20,272.9,365
ODISHA,TOTAL CAPITAL DISBURSEMENTS (I to XII) category,I. Total Capital Outlay (1 + 2) Sub Category 1,1. Development (a + b) Sub Category 2,(b) Economic Services (1 to 10),1. Agriculture and Allied Activities,Agriculture,786,1439.3,1540.9
GUJARAT,TOTAL CAPITAL DISBURSEMENTS (I to XII) category,I. Total Capital Outlay (1 + 2) Sub Category 1,1. Development (a + b) Sub Category 2,(b) Economic Services (1 to 10),1. Agriculture and Allied Activities,Agriculture,3566.6,6884.1,7138.3
RAJASTHAN,TOTAL CAPITAL DISBURSEMENTS (I to XII) category,I. Total Capital Outlay (1 + 2) Sub Category 1,1. Development (a + b) Sub Category 2,(b) Economic Services (1 to 10),1. Agriculture and Allied Activities,Agriculture,1929.7,2891.5,3642.8
TAMIL NADU,TOTAL CAPITAL DISBURSEMENTS (I to XII) category,I. Total Capital Outlay (1 + 2) Sub Category 1,1. Development (a + b) Sub Category 2,(b) Economic Services (1 to 10),1. Agriculture and Allied Activities,Agriculture,4593.8,7984.5,8105
WEST BENGAL,TOTAL CAPITAL DISBURSEMENTS (I to XII) category,I. Total Capital Outlay (1 + 2) Sub Category 1,1. Development (a + b) Sub Category 2,(b) Economic Services (1 to 10),1. Agriculture and Allied Activities,Agriculture,1479.1,2341.8,4873.9
ARUNACHAL PRADESH,TOTAL CAPITAL DISBURSEMENTS (I to XII) category,I. Total Capital Outlay (1 + 2) Sub Category 1,1. Development (a + b) Sub Category 2,(b) Economic Services (1 to 10),1. Agriculture and Allied Activities,Agriculture,350.6,383.9,110.2
BIHAR,TOTAL CAPITAL DISBURSEMENTS (I to XII) category,I. Total Capital Outlay (1 + 2) Sub Category 1,1. Development (a + b) Sub Category 2,(b) Economic Services (1 to 10),1. Agriculture and Allied Activities,Agriculture,169.9,1891.7,1448.4
