State,Category,Sub-Category1,Sub-Category2,Sub-Category 3,Display Name,2010,2011,2012
MADHYA PRADESH,TOTAL INCOME,,,TOTAL INCOME,Tot. Income,2993638.5,3520694.1,3122571.4
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,,,TOTAL CAPITAL RECEIPTS,Tot. Cap. Receipts,2475096.7,2885341.6,2423436.3
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,I. External Debt #,–,External Debt,Ext. Debt,NA,NA,NA
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),,Internal Debt,Int. Debt,63634.5,84456,140184.7
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),1. Market Loans,Market Loans,Market Loans,39000,62825.3,78642.7
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),2. Loans from LIC,Loans from LIC,Loan-LIC,NA,NA,NA
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),3. Loans from SBI and other Banks,Loans from SBI and other Banks,Loan-SBI,NA,NA,NA
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),4. Loans from National Bank for Agriculture and Rural Development,Loans from National Bank for Agriculture and Rural Development,Loan-NBARD,3695.7,7500,8000
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),5. Loans from National Co-operative Development Corporation,Loans from National Co-operative Development Corporation,Loan-NCDC,317.6,228.1,239.5
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),6. WMA from RBI,WMA from RBI,WMA-RBI,NA,NA,40000
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),7. Special Securities issued to NSSF,Special Securities issued to NSSF,Securities-NSSF,20384.1,12614.5,12000
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,II. Internal Debt (1 to 8),8. Others@,Internal Debt-Others,Oth-Debt,237.1,1288.1,1302.5
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),,Loans and Advances from the Centre,Loan from centre,10944.8,17886.7,29246.1
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),1. State Plan Schemes,State Plan Schemes,Loans-state plan,10944.8,17886.7,29246.1
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),2. Central Plan Schemes,Central Plan Schemes,Loans-central plan,NA,NA,NA
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),3. Centrally Sponsored Schemes,Centrally Sponsored Schemes,Loans-centrally sponsered,NA,NA,NA
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),4. Non-Plan,Non-Plan,non -plan Loans,NA,NA,NA
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),5. Ways and Means Advances from Centre,Ways and Means Advances from Centre,advances,NA,NA,NA
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,III. Loans and Advances from the Centre (1 to 6),6. Loans for Special Schemes,Loans for Special Schemes,special scheme,NA,NA,NA
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),,Recovery of Loans and Advances,recovery,336.5,91598.7,994.8
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),1. Housing,Housing,Housing,1.2,NA,NA
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),2. Urban Development,Urban Development,Urb. Dev.,120.6,419.2,471.5
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),3. Crop Husbandry,Crop Husbandry,Crop Husbandry,7.9,2,0.8
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),4. Food Storage and Warehousing,Food Storage and Warehousing,Food Storage,16.5,44,5.3
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),5. Co-operation,Co-operation,Co-operation,108.7,238.1,235.9
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),6. Minor Irrigation,Minor Irrigation,Minor Irrigation,NA,NA,NA
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),7. Power Projects,Power Projects,Power Projects,NA,90846.7,NA
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),8. Village and Small Industries,Village and Small Industries,Village and Small Industries,4.3,1.5,0.9
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),9. Industries and Minerals,Industries and Minerals,Industries and Minerals,1.7,0.8,0.8
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),10.Road Transport,Road Transport,Road Transport,NA,NA,NA
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),"11. Government Servants, etc.+","Government Servants, etc.+",Govt. Servants,4.9,29.7,29.2
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,IV. Recovery of Loans and Advances (1 to 12),12. Others**,Recovery of Loands and Advances-Others,Other-loan,70.8,16.8,250.4
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,V. Inter-State Settlement,,Inter-State Settlement, Inter-State Settlement,16.4,21,NA
MADHYA PRADESH,TOTAL CAPITAL RECEIPTS,VI. Contingency Fund,,Contingency Fund,Contingency Fund,NA,2000,2000
