State,Category,Sub-Category1,Sub-Category2,Sub-Category 3,2010-11,2011-12,2012-13,
Madhya Pradesh,TOTAL INCOME (Total Capital Receipts + Tax Revenue),,,,"29,93,638.50","35,20,694.10","31,22,571.40",
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),,,,2475096.7,2885341.6,2423436.3,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),I. External Debt #,–,–,–,–,–,–
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),,,63634.5,84456,140184.7,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),1. Market Loans,,39000,62825.3,78642.7,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),2. Loans from LIC,,–,–,–,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),3. Loans from SBI and other Banks,,–,–,–,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),4. Loans from National Bank for Agriculture and Rural Development,,3695.7,7500,8000,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),5. Loans from National Co-operative Development Corporation,,317.6,228.1,239.5,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),6. WMA from RBI,,–,–,40000,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),7. Special Securities issued to NSSF,,20384.1,12614.5,12000,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),II. Internal Debt (1 to 8),8. Others@,,237.1,1288.1,1302.5,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),,,10944.8,17886.7,29246.1,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),1. State Plan Schemes,,10944.8,17886.7,29246.1,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),2. Central Plan Schemes,,–,–,–,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),3. Centrally Sponsored Schemes,,–,–,–,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),4. Non-Plan,,–,–,–,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),5. Ways and Means Advances from Centre,,–,–,–,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),III. Loans and Advances from the Centre (1 to 6),6. Loans for Special Schemes,,–,–,–,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),,,336.5,91598.7,994.8,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),1. Housing,,1.2,–,–,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),2. Urban Development,,120.6,419.2,471.5,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),3. Crop Husbandry,,7.9,2,0.8,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),4. Food Storage and Warehousing,,16.5,44,5.3,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),5. Co-operation,,108.7,238.1,235.9,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),6. Minor Irrigation,,–,–,–,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),7. Power Projects,,–,90846.7,–,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),8. Village and Small Industries,,4.3,1.5,0.9,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),9. Industries and Minerals,,1.7,0.8,0.8,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),10.Road Transport,,–,–,–,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),"11. Government Servants, etc.+",,4.9,29.7,29.2,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),IV. Recovery of Loans and Advances (1 to 12),12. Others**,,70.8,16.8,250.4,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),V. Inter-State Settlement,,,16.4,21,–,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),VI. Contingency Fund,,,–,2000,2000,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),"VII. State Provident Funds, etc. (1 + 2)",,,17373.5,18900,19845,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),"VII. State Provident Funds, etc. (1 + 2)",1. State Provident Funds,,16186.9,17500,18375,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),"VII. State Provident Funds, etc. (1 + 2)",2. Others,,1186.6,1400,1470,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),,,11917.3,18168.7,24744.8,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),1. Depreciation/Renewal Reserve Funds,,2.2,3.8,4,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),2. Sinking Funds,,–,–,–,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),3. Famine Relief Fund,,4.4,7,7.4,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),VIII. Reserve Funds (1 to 4),4. Others,,11910.6,18157.9,24733.4,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),IX. Deposits and Advances (1 to 4),,,97241.4,85703.5,89988.6,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),IX. Deposits and Advances (1 to 4),1. Civil Deposits,,53860,41998.7,44098.6,
Madhya Pradesh,TOTAL CAPITAL RECEIPTS (I to XIII),IX. Deposits and Advances (1 to 4),2. Deposits of Local Funds,,197.8,50,52.5,
